0,10,0,0,0,5,16,0,3,0,0,0,0,9,0,7
0,2,0,0,0,0,8,0,4,0,10,0,0,16,6,0
8,6,0,0,0,1,0,0,0,0,0,11,14,12,0,5
14,0,0,11,0,0,0,7,0,0,0,0,0,0,0,8
12,8,0,0,10,0,1,0,0,0,0,14,6,0,0,0
0,0,0,3,9,2,0,0,1,7,16,6,0,13,0,0
0,7,0,0,0,0,11,0,0,9,0,0,12,15,0,0
15,0,0,4,0,0,0,14,0,12,5,0,1,3,0,0
0,3,2,15,0,16,6,0,0,5,0,0,0,4,0,0
16,0,11,0,0,0,10,4,8,0,15,0,0,0,0,0
7,1,12,0,0,8,0,0,0,0,0,0,0,0,16,0
0,14,0,0,5,3,15,0,9,0,0,13,0,0,0,0
5,0,0,8,0,0,7,0,6,11,0,0,0,0,0,0
0,0,0,0,0,0,0,16,10,0,0,9,0,0,0,0
0,0,0,0,0,0,0,0,14,0,8,15,3,0,9,0
9,0,0,1,0,0,0,13,12,0,0,0,0,14,0,0
